USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13057090804,26738545,214643,10.324,0.083,34.1441797,-84.4405896
GA,13057090901,22490086,240631,8.683,0.093,34.116282,-84.4478928
GA,13057090902,18759006,239634,7.243,0.093,34.0882297,-84.4491443
GA,13057090904,12486338,119132,4.821,0.046,34.1016473,-84.5005023
GA,13057090905,4096247,47693,1.582,0.018,34.0809195,-84.5052385
GA,13057091001,9048395,58070,3.494,0.022,34.1031593,-84.5226509
GA,13057091003,9971437,153388,3.85,0.059,34.0893576,-84.5669663
GA,13057091005,7420556,3810,2.865,0.001,34.1004981,-84.5527112
GA,13057091006,4830577,5491,1.865,0.002,34.1242244,-84.570679
GA,13057091007,8733108,965808,3.372,0.373,34.139426,-84.56705
GA,13057091008,9609174,266676,3.71,0.103,34.1248432,-84.5402114
GA,13057091101,13903374,4498529,5.368,1.737,34.1482561,-84.6043979
GA,13057091102,10954418,83169,4.23,0.032,34.0976311,-84.602578
GA,13057091103,25267404,2795331,9.756,1.079,34.1101936,-84.6313939
GA,13059000100,846814,22400,0.327,0.009,33.9601681,-83.3742173
GA,13059000401,1506880,76008,0.582,0.029,33.9331018,-83.3723221
GA,13059000402,2216600,30911,0.856,0.012,33.9481338,-83.3754635
GA,13059000600,1349859,0,0.521,0,33.9549681,-83.3861575
GA,13059000900,2482852,1993,0.959,0.001,33.9517142,-83.4061238
GA,13059001200,3473581,97439,1.341,0.038,33.9326003,-83.4060003
GA,13059001700,3476924,24332,1.342,0.009,33.9599922,-83.4260558
GA,13059001800,2084588,0,0.805,0,33.9593904,-83.4043423
GA,13059001900,2651401,7928,1.024,0.003,33.9663942,-83.3904044
GA,13059002000,1990285,15982,0.768,0.006,33.9401258,-83.3996497
GA,13059002100,1672743,0,0.646,0,33.9416478,-83.3850318
GA,13059002200,1818449,19266,0.702,0.007,33.9266817,-83.3839939
GA,13059030100,3716691,36754,1.435,0.014,33.970123,-83.36595
GA,13059030200,4442379,47313,1.715,0.018,33.9538716,-83.3562739
GA,13059130300,17693504,226451,6.832,0.087,33.9906785,-83.4127849
GA,13059130400,14008905,111252,5.409,0.043,33.9835443,-83.440258
GA,13059130500,30910077,467121,11.934,0.18,33.9580368,-83.4977546
GA,13059130600,9171638,185093,3.541,0.071,33.9537834,-83.4527537
GA,13059130700,9303204,50263,3.592,0.019,33.9341036,-83.4627996
GA,13059140300,27224724,722833,10.512,0.279,34.0088515,-83.3720732
GA,13059140400,13846936,150111,5.346,0.058,34.011243,-83.3386514
GA,13059140500,21214045,229083,8.191,0.088,33.9673636,-83.3253653
GA,13059140600,32247125,325226,12.451,0.126,33.9611916,-83.2862758
